SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
040,3,6,01,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,13867,57184,58106,58251,15165,69135,67208,59813,-1298,-11951,-9102,-1562,125,1806,4374,5384,9615,27715,28464,30744,9740,29521,32838,36128,-872,946,-213,-1,11.34350647,11.47854125,11.4415395,13.71420886,13.2765945,11.74834427,-2.370702395,-1.798053255,-0.306804771,0.358253579,0.864061188,1.057514011,5.497784025,5.622916704,6.038672133,5.856037604,6.486977893,7.096186144
040,4,9,02,Alaska,733374,732964,734923,733276,733406,-410,1959,-1647,130,2406,9453,9356,9266,1171,5330,6340,5581,1235,4123,3016,3685,63,873,2356,2004,-1663,-2948,-7202,-5543,-1600,-2075,-4846,-3539,-45,-89,183,-16,12.87973802,12.74486633,12.63532245,7.262139388,8.636431437,7.610374982,5.61759863,4.108434892,5.024947467,1.189464857,3.209374206,2.732698704,-4.016657958,-9.810659182,-7.558557342,-2.827193101,-6.601284976,-4.825858639
040,4,8,04,Arizona,7157902,7186683,7272487,7365684,7431344,28781,85804,93197,65660,18110,75693,79137,78494,18025,80276,79807,70792,85,-4583,-670,7702,253,8010,22296,21635,29980,82290,69798,36179,30233,90300,92094,57814,-1537,87,1773,144,10.46989558,10.81241639,10.60942779,11.10381855,10.90395788,9.568407926,-0.633922971,-0.091541491,1.041019859,1.107947413,3.046282217,2.924235867,11.38239609,9.536437305,4.890036026,12.4903435,12.58271952,7.814271893
040,3,7,05,Arkansas,3011490,3014348,3028443,3046404,3067732,2858,14095,17961,21328,8509,34927,36298,35566,8475,40180,40362,36473,34,-5253,-4064,-907,94,1346,3215,4096,2537,17806,18841,18106,2631,19152,22056,22202,193,196,-31,33,11.55989012,11.95025982,11.63402319,13.29849071,13.2882359,11.9307127,-1.73860059,-1.337976084,-0.296689508,0.44548951,1.058462872,1.339845892,5.893303277,6.202954577,5.922668387,6.338792786,7.261417448,7.262514278
040,4,9,06,California,39538212,39503200,39145060,39040616,38965193,-35012,-358140,-104444,-75423,103133,412506,423922,414120,74587,345181,318145,302704,28546,67325,105777,111416,1383,44116,126517,150982,-67932,-458862,-332785,-338371,-66549,-414746,-206268,-187389,2991,-10719,-3953,550,10.48989514,10.84398119,10.61767079,8.777842002,8.138191451,7.761063025,1.712053134,2.705789741,2.856607769,1.121855716,3.236321702,3.87104504,-11.66871333,-8.5126846,-8.675533382,-10.54685762,-5.276362898,-4.804488343
040,4,8,08,Colorado,5773707,5785219,5811596,5841039,5877610,11512,26377,29443,36571,15593,62137,62682,62498,11914,46481,49599,45099,3679,15656,13083,17399,244,3913,10413,11931,7169,5404,6772,7236,7413,9317,17185,19167,420,1404,-825,5,10.7162182,10.75842503,10.66641726,8.016166508,8.51292433,7.696962338,2.700051695,2.245500696,2.969454926,0.674840463,1.787235248,2.03624155,0.931980031,1.162312215,1.234954644,1.606820493,2.949547463,3.271196193
040,1,1,09,Connecticut,3605912,3577586,3603691,3608706,3617176,-28326,26105,5015,8470,8465,33942,35572,34957,11938,34571,34833,32842,-3473,-629,739,2115,410,6217,15562,15264,-21420,19032,-10081,-9016,-21010,25249,5481,6248,-3843,1485,-1205,107,9.452914851,9.864127002,9.675497054,9.628092608,9.659202066,9.090101388,-0.175177757,0.204924937,0.585395665,1.731446928,4.315347588,4.224812971,5.300450045,-2.795464531,-2.495473909,7.031896973,1.519883057,1.729339062
040,3,5,10,Delaware,989946,991862,1004881,1019459,1031890,1916,13019,14578,12431,2579,10174,10883,10725,2959,11228,11488,10897,-380,-1054,-605,-172,62,939,2378,2277,2195,13284,12669,10320,2257,14223,15047,12597,39,-150,136,6,10.19059539,10.75214638,10.45653373,11.24631462,11.34987206,10.62422825,-1.055719239,-0.597725678,-0.167694527,0.940531656,2.349407708,2.220002545,13.30566828,12.5166721,10.06167161,14.24619994,14.86607981,12.28167416
040,3,5,11,District of Columbia,689548,670839,669037,670949,678972,-18709,-1802,1912,8023,2187,8508,8399,7627,2004,5837,5572,5020,183,2671,2827,2607,50,1745,4527,6969,-15475,-6551,-4917,-1509,-15425,-4806,-390,5460,-3467,333,-525,-44,12.69968266,12.53595187,11.29992051,8.712746553,8.316504799,7.437472267,3.986936105,4.219447069,3.862448247,2.604718646,6.756787011,10.32504865,-9.778516818,-7.338882645,-2.235686385,-7.173798172,-0.582095634,8.089362266
040,3,5,12,Florida,21538216,21591299,21830708,22245521,22610726,53083,239409,414813,365205,50294,207942,222003,223578,56383,250389,260220,231181,-6089,-42447,-38217,-7603,2840,46865,121233,178432,61782,244619,317923,194438,64622,291484,439156,372870,-5450,-9628,13874,-62,9.577724033,10.07359318,9.968644947,11.53281561,11.8077252,10.30763898,-1.955091574,-1.734132019,-0.338994031,2.158582859,5.501060447,7.955725766,11.26705175,14.42605265,8.66938333,13.42563461,19.92711309,16.6251091
040,3,5,13,Georgia,10713771,10732390,10790385,10913150,11029227,18619,57995,122765,116077,29847,121276,125599,125664,24771,109501,110380,97847,5076,11775,15219,27817,730,10161,27010,30119,11606,35341,80599,58206,12336,45502,107609,88325,1207,718,-63,-65,11.26955051,11.57405925,11.45400063,10.17536075,10.1716149,8.918541505,1.09418976,1.402444348,2.535459126,0.944209099,2.488995456,2.745281425,3.284056076,7.427269337,5.305350464,4.228265175,9.916264793,8.050631889
040,4,9,15,Hawaii,1455274,1451181,1446745,1439399,1435138,-4093,-4436,-7346,-4261,3836,15528,15746,15167,2843,12152,13375,12812,993,3376,2371,2355,119,2043,5917,4627,-4831,-9982,-15664,-11193,-4712,-7939,-9747,-6566,-374,127,30,-50,10.71662976,10.91144447,10.55265596,8.386687583,9.268421811,8.914131215,2.329942172,1.643022663,1.638524743,1.409973892,4.100280513,3.219301056,-6.8890648,-10.85462125,-7.787688939,-5.479090908,-6.75434074,-4.568387883
040,4,8,16,Idaho,1839117,1849339,1904537,1938996,1964726,10222,55198,34459,25730,5467,21850,22418,22456,3629,17141,18938,16817,1838,4709,3480,5639,58,698,1779,4664,8814,51524,28586,15389,8872,52222,30365,20053,-488,-1733,614,38,11.64130089,11.66530898,11.50491762,9.13242739,9.854475036,8.615879922,2.508873495,1.810833939,2.889037693,0.371882289,0.925710798,2.389514417,27.45109322,14.87485602,7.884270448,27.82297551,15.80056682,10.27378487
040,2,3,17,Illinois,12813469,12790357,12690341,12582515,12549689,-23112,-100016,-107826,-32826,33452,131888,129614,127235,35296,128385,127064,116782,-1844,3503,2550,10453,504,11447,31224,40492,-22545,-115656,-142403,-83839,-22041,-104209,-111179,-43347,773,690,803,68,10.35199271,10.25717078,10.12525603,10.07703949,10.05537324,9.293414935,0.274953222,0.201797533,0.831841091,0.898484021,2.470951443,3.222319857,-9.077930283,-11.26924476,-6.671838252,-8.179446262,-8.798293315,-3.449518395
040,2,3,18,Indiana,6785442,6789098,6813798,6832274,6862199,3656,24700,18476,29925,19436,77712,80234,79587,19149,77868,79739,72079,287,-156,495,7508,342,6065,15475,17869,1596,16132,5011,4599,1938,22197,20486,22468,1431,2659,-2505,-51,11.42580227,11.75928135,11.62322931,11.44873856,11.686733,10.52672856,-0.022936292,0.072548349,1.096500756,0.89172188,2.268051935,2.609665958,2.371847877,0.734423796,0.671657829,3.263569758,3.002475731,3.281323787
040,2,4,19,Iowa,3190427,3190904,3197944,3199693,3207004,477,7040,1749,7311,9104,35887,36848,36898,8036,35499,35708,33119,1068,388,1140,3779,199,3701,9355,7112,-1270,1805,-7990,-3603,-1071,5506,1365,3509,480,1146,-756,23,11.2342632,11.51925312,11.51857189,11.11280156,11.16287154,10.33886884,0.121461647,0.356381583,1.179703051,1.158581328,2.924517287,2.220176793,0.565047095,-2.497797234,-1.124760544,1.723628423,0.426720053,1.09541625
040,2,4,20,Kansas,2937835,2938124,2937946,2936716,2940546,289,-178,-1230,3830,8510,34168,34547,34768,6984,32824,33274,30329,1526,1344,1273,4439,135,2069,5518,3932,-1920,-4975,-7004,-4574,-1785,-2906,-1486,-642,548,1384,-1017,33,11.62954151,11.7613575,11.83135957,11.17209291,11.32797087,10.32079223,0.457448601,0.433386636,1.510567336,0.704212169,1.878576163,1.338038018,-1.693308623,-2.384477609,-1.556507095,-0.989096454,-0.505901446,-0.218469076
040,3,6,21,Kentucky,4506297,4508155,4507600,4511563,4526154,1858,-555,3963,14591,12579,51364,52384,52380,12785,58401,61410,54385,-206,-7037,-9026,-2005,122,1757,4436,7627,1010,3216,9400,8965,1132,4973,13836,16592,932,1509,-847,4,11.39427591,11.61615551,11.59142292,12.95532099,13.61767162,12.03511905,-1.561045082,-2.001516105,-0.443696124,0.389762144,0.983683297,1.687815629,0.713417789,2.08445063,1.983908104,1.103179933,3.068133928,3.671723733
040,3,7,22,Louisiana,4657785,4652022,4627047,4588023,4573749,-5763,-24975,-39024,-14274,13555,57028,56541,56209,14807,56872,56876,50094,-1252,156,-335,6115,193,3183,8225,9274,-5154,-28324,-47539,-29692,-4961,-25141,-39314,-20418,450,10,625,29,12.29175039,12.27142062,12.27033373,12.25812633,12.34412761,10.93543913,0.033624063,-0.07270699,1.334894603,0.686060207,1.785119375,2.024499191,-6.104922811,-10.31766443,-6.481715546,-5.418862604,-8.532545059,-4.457216355
040,1,1,23,Maine,1363177,1364517,1378787,1389338,1395722,1340,14270,10551,6384,2997,11590,12009,11945,3704,16116,17977,16998,-707,-4526,-5968,-5053,58,1012,2504,2209,1803,17938,13861,9216,1861,18950,16365,11425,186,-154,154,12,8.449665075,8.676631294,8.577912146,11.74933584,12.9885753,12.20655928,-3.299670762,-4.311944005,-3.628647139,0.737796467,1.809166855,1.5863213,13.0776611,10.01472116,6.618169806,13.81545757,11.82388801,8.204491106
040,3,5,24,Maryland,6177253,6173689,6175045,6163981,6180253,-3564,1356,-11064,16272,17156,67431,68904,67969,16929,58995,57559,53770,227,8436,11345,14199,508,9041,23536,32977,-5257,-17683,-45734,-30905,-4749,-8642,-22198,2072,958,1562,-211,1,10.92111953,11.16846662,11.01226694,9.55482562,9.329585658,8.711759677,1.366293905,1.838880962,2.300507265,1.464279658,3.81488782,5.342899365,-2.863937307,-7.412902769,-5.007196072,-1.399657649,-3.598014949,0.335703293
040,1,1,25,Massachusetts,7032933,6997713,6991951,6982740,7001399,-35220,-5762,-9211,18659,17113,66441,69069,68387,22133,61652,63566,61404,-5020,4789,5503,6983,908,16477,42932,50647,-27235,-26269,-56813,-39149,-26327,-9792,-13881,11498,-3873,-759,-833,178,9.498584098,9.884869726,9.780652209,8.813935774,9.097303118,8.781949321,0.684648323,0.787566609,0.998702888,2.355596246,6.144250345,7.243492073,-3.755486908,-8.130841677,-5.599057618,-1.399890662,-1.986591331,1.644434455
